chr	start	end	co_100k	cM_Mb	a$cM_Mb
Athal_NC_003074.8	3800000	3900000	7	7	7
Athal_NC_003074.8	3900000	4000000	10	10	10
Athal_NC_003074.8	4000000	4100000	10	10	10
Athal_NC_003074.8	4100000	4200000	2	2	2
Athal_NC_003074.8	4200000	4300000	2	2	2
Athal_NC_003074.8	4300000	4400000	13	13	13
Athal_NC_003074.8	4400000	4500000	7	7	7
Athal_NC_003074.8	4500000	4600000	11	11	11
Athal_NC_003074.8	4600000	4700000	8	8	8
Athal_NC_003074.8	4700000	4800000	20	20	20
Athal_NC_003074.8	4800000	4900000	15	15	15
Athal_NC_003074.8	4900000	5000000	12	12	12
Athal_NC_003074.8	5000000	5100000	7	7	7
Athal_NC_003074.8	5100000	5200000	10	10	10
Athal_NC_003074.8	5200000	5300000	11	11	11
Athal_NC_003074.8	5300000	5400000	11	11	11
Athal_NC_003074.8	5400000	5500000	15	15	15
Athal_NC_003074.8	5500000	5600000	11	11	11
Athal_NC_003074.8	5600000	5700000	10	10	10
Athal_NC_003074.8	5700000	5800000	7	7	7
Athal_NC_003074.8	5800000	5900000	11	11	11
Athal_NC_003074.8	5900000	6000000	10	10	10
Athal_NC_003074.8	6000000	6100000	6	6	6
Athal_NC_003074.8	6100000	6200000	8	8	8
Athal_NC_003074.8	6200000	6300000	18	18	18
Athal_NC_003074.8	6300000	6400000	3	3	3
Athal_NC_003074.8	6400000	6500000	14	14	14
Athal_NC_003074.8	6500000	6600000	7	7	7
Athal_NC_003074.8	6600000	6700000	10	10	10
Athal_NC_003074.8	6700000	6800000	16	16	16
Athal_NC_003074.8	6800000	6900000	8	8	8
Athal_NC_003074.8	6900000	7000000	3	3	3
Athal_NC_003074.8	7000000	7100000	4	4	4
Athal_NC_003074.8	7100000	7200000	15	15	15
Athal_NC_003074.8	7200000	7300000	13	13	13
Athal_NC_003074.8	7300000	7400000	16	16	16
Athal_NC_003074.8	7400000	7500000	5	5	5
Athal_NC_003074.8	7500000	7600000	23	23	23
Athal_NC_003074.8	7600000	7700000	32	32	32
Athal_NC_003074.8	7700000	7800000	23	23	23
Athal_NC_003074.8	7800000	7900000	29	29	29
Athal_NC_003074.8	7900000	8000000	23	23	23
Athal_NC_003074.8	8000000	8100000	21	21	21
Athal_NC_003074.8	8100000	8200000	41	41	41
Athal_NC_003074.8	8200000	8300000	29	29	29
Athal_NC_003074.8	8300000	8400000	0	0	0
Athal_NC_003074.8	8400000	8500000	12	12	12
Athal_NC_003074.8	8500000	8600000	20	20	20
Athal_NC_003074.8	8600000	8700000	21	21	21
Athal_NC_003074.8	8700000	8800000	24	24	24
Athal_NC_003074.8	8800000	8900000	11	11	11
Athal_NC_003074.8	8900000	9000000	52	52	52
Athal_NC_003074.8	9000000	9100000	32	32	32
Athal_NC_003074.8	9100000	9200000	14	14	14
Athal_NC_003074.8	9200000	9300000	14	14	14
Athal_NC_003074.8	9300000	9400000	31	31	31
Athal_NC_003074.8	9400000	9500000	39	39	39
Athal_NC_003074.8	9500000	9600000	13	13	13
Athal_NC_003074.8	9600000	9700000	18	18	18
Athal_NC_003074.8	9700000	9800000	35	35	35
Athal_NC_003074.8	9800000	9900000	29	29	29
Athal_NC_003074.8	9900000	10000000	23	23	23
Athal_NC_003074.8	10000000	10100000	24	24	24
Athal_NC_003074.8	10100000	10200000	33	33	33
Athal_NC_003074.8	10200000	10300000	13	13	13
Athal_NC_003074.8	10300000	10400000	38	38	38
Athal_NC_003074.8	10400000	10500000	12	12	12
Athal_NC_003074.8	10500000	10600000	14	14	14
Athal_NC_003074.8	10600000	10700000	23	23	23
Athal_NC_003074.8	10700000	10800000	42	42	42
Athal_NC_003074.8	10800000	10900000	25	25	25
Athal_NC_003074.8	10900000	11000000	33	33	33
Athal_NC_003074.8	11000000	11100000	28	28	28
Athal_NC_003074.8	11100000	11200000	46	46	46
Athal_NC_003074.8	11200000	11300000	28	28	28
Athal_NC_003074.8	11300000	11400000	16	16	16
Athal_NC_003074.8	11400000	11500000	11	11	11
Athal_NC_003074.8	11500000	11600000	8	8	8
Athal_NC_003074.8	11600000	11700000	6	6	6
Athal_NC_003074.8	11700000	11800000	53	53	53
Athal_NC_003074.8	11800000	11900000	17	17	17
Athal_NC_003074.8	11900000	12000000	7	7	7
Athal_NC_003074.8	12000000	12100000	0	0	0
Athal_NC_003074.8	12100000	12200000	2	2	2
Athal_NC_003074.8	12200000	12300000	0	0	0
Athal_NC_003074.8	12300000	12400000	8	8	8
Athal_NC_003074.8	12400000	12500000	1	1	1
Athal_NC_003074.8	12500000	12600000	1	1	1
Athal_NC_003074.8	12600000	12700000	5	5	5
Athal_NC_003074.8	12700000	12800000	1	1	1
Athal_NC_003074.8	12800000	12900000	0	0	0
Athal_NC_003074.8	12900000	13000000	0	0	0
Athal_NC_003074.8	13000000	13100000	0	0	0
Athal_NC_003074.8	13100000	13200000	0	0	0
Athal_NC_003074.8	13200000	13300000	0	0	0
Athal_NC_003074.8	13300000	13400000	0	0	0
Athal_NC_003074.8	13400000	13500000	0	0	0
Athal_NC_003074.8	13500000	13600000	0	0	0
Athal_NC_003074.8	13600000	13700000	0	0	0
Athal_NC_003074.8	13700000	13800000	0	0	0
Athal_NC_003074.8	13800000	13900000	0	0	0
Athal_NC_003074.8	13900000	14000000	4	4	4
Athal_NC_003074.8	14000000	14100000	0	0	0
Athal_NC_003074.8	14100000	14200000	0	0	0
Athal_NC_003074.8	14200000	14300000	0	0	0
Athal_NC_003074.8	14300000	14400000	0	0	0
Athal_NC_003074.8	14400000	14500000	0	0	0
Athal_NC_003074.8	14500000	14600000	0	0	0
Athal_NC_003074.8	14600000	14700000	3	3	3
Athal_NC_003074.8	14700000	14800000	3	3	3
Athal_NC_003074.8	14800000	14900000	0	0	0
Athal_NC_003074.8	14900000	15000000	19	19	19
Athal_NC_003074.8	15000000	15100000	2	2	2
Athal_NC_003074.8	15100000	15200000	3	3	3
Athal_NC_003074.8	15200000	15300000	0	0	0
Athal_NC_003074.8	15300000	15400000	9	9	9
Athal_NC_003074.8	15400000	15500000	4	4	4
Athal_NC_003074.8	15500000	15600000	10	10	10
Athal_NC_003074.8	15600000	15700000	41	41	41
Athal_NC_003074.8	15700000	15800000	23	23	23
Athal_NC_003074.8	15800000	15900000	23	23	23
Athal_NC_003074.8	15900000	16000000	37	37	37
Athal_NC_003074.8	16000000	16100000	6	6	6
Athal_NC_003074.8	16100000	16200000	24	24	24
Athal_NC_003074.8	16200000	16300000	12	12	12
Athal_NC_003074.8	16300000	16400000	17	17	17
Athal_NC_003074.8	16400000	16500000	19	19	19
Athal_NC_003074.8	16500000	16600000	37	37	37
Athal_NC_003074.8	16600000	16700000	27	27	27
Athal_NC_003074.8	16700000	16800000	11	11	11
Athal_NC_003074.8	16800000	16900000	27	27	27
Athal_NC_003074.8	16900000	17000000	28	28	28
Athal_NC_003074.8	17000000	17100000	10	10	10
Athal_NC_003074.8	17100000	17200000	12	12	12
Athal_NC_003074.8	17200000	17300000	20	20	20
Athal_NC_003074.8	17300000	17400000	7	7	7
Athal_NC_003074.8	17400000	17500000	21	21	21
Athal_NC_003074.8	17500000	17600000	41	41	41
Athal_NC_003074.8	17600000	17700000	20	20	20
Athal_NC_003074.8	17700000	17800000	10	10	10
Athal_NC_003074.8	17800000	17900000	8	8	8
Athal_NC_003074.8	17900000	18000000	27	27	27
Athal_NC_003074.8	18000000	18100000	16	16	16
Athal_NC_003074.8	18100000	18200000	7	7	7
Athal_NC_003074.8	18200000	18300000	21	21	21
Athal_NC_003074.8	18300000	18400000	22	22	22
Athal_NC_003074.8	18400000	18500000	11	11	11
Athal_NC_003074.8	18500000	18600000	30	30	30
Athal_NC_003074.8	18600000	18700000	12	12	12
Athal_NC_003074.8	18700000	18800000	32	32	32
Athal_NC_003074.8	18800000	18900000	25	25	25
Athal_NC_003074.8	18900000	19000000	10	10	10
Athal_NC_003074.8	19000000	19100000	10	10	10
Athal_NC_003074.8	19100000	19200000	6	6	6
Athal_NC_003074.8	19200000	19300000	15	15	15
Athal_NC_003074.8	19300000	19400000	1	1	1
Athal_NC_003074.8	19400000	19500000	26	26	26
Athal_NC_003074.8	19500000	19600000	18	18	18
Athal_NC_003074.8	19600000	19700000	15	15	15
Athal_NC_003074.8	19700000	19800000	10	10	10
Athal_NC_003074.8	19800000	19900000	12	12	12
Athal_NC_003074.8	19900000	20000000	31	31	31
Athal_NC_003074.8	20000000	20100000	15	15	15
Athal_NC_003074.8	20100000	20200000	4	4	4
Athal_NC_003074.8	20200000	20300000	5	5	5
Athal_NC_003074.8	20300000	20400000	10	10	10
Athal_NC_003074.8	20400000	20500000	7	7	7
Athal_NC_003074.8	20500000	20600000	13	13	13
Athal_NC_003074.8	20600000	20700000	17	17	17
Athal_NC_003074.8	20700000	20800000	14	14	14
Athal_NC_003074.8	20800000	20900000	6	6	6
Athal_NC_003074.8	20900000	21000000	3	3	3
Athal_NC_003074.8	21000000	21100000	17	17	17
Athal_NC_003074.8	21100000	21200000	10	10	10
Athal_NC_003074.8	21200000	21300000	9	9	9
Athal_NC_003074.8	21300000	21400000	4	4	4
Athal_NC_003074.8	21400000	21500000	9	9	9
Athal_NC_003074.8	21500000	21600000	2	2	2
Athal_NC_003074.8	21600000	21700000	6	6	6
Athal_NC_003074.8	21700000	21800000	12	12	12
Athal_NC_003074.8	21800000	21900000	10	10	10
Athal_NC_003074.8	21900000	22000000	5	5	5
Athal_NC_003074.8	22000000	22100000	4	4	4
Athal_NC_003074.8	22100000	22200000	13	13	13
Athal_NC_003074.8	22200000	22300000	5	5	5
Athal_NC_003074.8	22300000	22400000	9	9	9
Athal_NC_003074.8	22400000	22500000	14	14	14
Athal_NC_003074.8	22500000	22600000	0	0	0
Athal_NC_003074.8	22600000	22700000	19	19	19
Athal_NC_003074.8	22700000	22800000	22	22	22
Athal_NC_003074.8	22800000	22900000	11	11	11
Athal_NC_003074.8	22900000	23000000	26	26	26
Athal_NC_003074.8	23000000	23100000	10	10	10
Athal_NC_003074.8	23100000	23200000	9	9	9
Athal_NC_003074.8	23200000	23300000	15	15	15
Athal_NC_003074.8	23300000	23400000	4	4	4
Athal_NC_003075.7	0	100000	27	27	27
Athal_NC_003075.7	100000	200000	69	69	69
Athal_NC_003075.7	200000	300000	42	42	42
Athal_NC_003075.7	300000	400000	45	45	45
Athal_NC_003075.7	400000	500000	34	34	34
Athal_NC_003075.7	500000	600000	32	32	32
Athal_NC_003075.7	600000	700000	37	37	37
Athal_NC_003075.7	700000	800000	47	47	47
Athal_NC_003075.7	800000	900000	24	24	24
Athal_NC_003075.7	900000	1000000	22	22	22
Athal_NC_003075.7	1000000	1100000	30	30	30
Athal_NC_003075.7	1100000	1200000	14	14	14
Athal_NC_003075.7	1200000	1300000	34	34	34
Athal_NC_003075.7	1300000	1400000	17	17	17
Athal_NC_003075.7	1400000	1500000	16	16	16
Athal_NC_003075.7	1500000	1600000	27	27	27
Athal_NC_003075.7	1600000	1700000	1	1	1
Athal_NC_003075.7	1700000	1800000	0	0	0
Athal_NC_003075.7	1800000	1900000	0	0	0
Athal_NC_003075.7	1900000	2000000	0	0	0
Athal_NC_003075.7	2000000	2100000	0	0	0
Athal_NC_003075.7	2100000	2200000	0	0	0
Athal_NC_003075.7	2200000	2300000	0	0	0
Athal_NC_003075.7	2300000	2400000	0	0	0
Athal_NC_003075.7	2400000	2500000	0	0	0
Athal_NC_003075.7	2500000	2600000	0	0	0
Athal_NC_003075.7	2600000	2700000	0	0	0
Athal_NC_003075.7	2700000	2800000	1	1	1
Athal_NC_003075.7	2800000	2900000	1	1	1
Athal_NC_003075.7	2900000	3000000	3	3	3
Athal_NC_003075.7	3000000	3100000	0	0	0
Athal_NC_003075.7	3100000	3200000	0	0	0
Athal_NC_003075.7	3200000	3300000	0	0	0
Athal_NC_003075.7	3300000	3400000	1	1	1
Athal_NC_003075.7	3400000	3500000	0	0	0
Athal_NC_003075.7	3500000	3600000	0	0	0
Athal_NC_003075.7	3600000	3700000	1	1	1
Athal_NC_003075.7	3700000	3800000	0	0	0
Athal_NC_003075.7	3800000	3900000	1	1	1
Athal_NC_003075.7	3900000	4000000	0	0	0
Athal_NC_003075.7	4000000	4100000	0	0	0
Athal_NC_003075.7	4100000	4200000	0	0	0
Athal_NC_003075.7	4200000	4300000	0	0	0
Athal_NC_003075.7	4300000	4400000	0	0	0
Athal_NC_003075.7	4400000	4500000	0	0	0
Athal_NC_003075.7	4500000	4600000	0	0	0
Athal_NC_003075.7	4600000	4700000	0	0	0
Athal_NC_003075.7	4700000	4800000	1	1	1
Athal_NC_003075.7	4800000	4900000	28	28	28
Athal_NC_003075.7	4900000	5000000	0	0	0
Athal_NC_003075.7	5000000	5100000	0	0	0
Athal_NC_003075.7	5100000	5200000	44	44	44
Athal_NC_003075.7	5200000	5300000	42	42	42
Athal_NC_003075.7	5300000	5400000	69	69	69
Athal_NC_003075.7	5400000	5500000	48	48	48
Athal_NC_003075.7	5500000	5600000	15	15	15
Athal_NC_003075.7	5600000	5700000	28	28	28
Athal_NC_003075.7	5700000	5800000	80	80	80
Athal_NC_003075.7	5800000	5900000	10	10	10
Athal_NC_003075.7	5900000	6000000	3	3	3
Athal_NC_003075.7	6000000	6100000	25	25	25
Athal_NC_003075.7	6100000	6200000	29	29	29
Athal_NC_003075.7	6200000	6300000	37	37	37
Athal_NC_003075.7	6300000	6400000	32	32	32
Athal_NC_003075.7	6400000	6500000	19	19	19
Athal_NC_003075.7	6500000	6600000	22	22	22
Athal_NC_003075.7	6600000	6700000	6	6	6
Athal_NC_003075.7	6700000	6800000	29	29	29
Athal_NC_003075.7	6800000	6900000	38	38	38
Athal_NC_003075.7	6900000	7000000	25	25	25
Athal_NC_003075.7	7000000	7100000	16	16	16
Athal_NC_003075.7	7100000	7200000	13	13	13
Athal_NC_003075.7	7200000	7300000	41	41	41
Athal_NC_003075.7	7300000	7400000	58	58	58
Athal_NC_003075.7	7400000	7500000	28	28	28
Athal_NC_003075.7	7500000	7600000	23	23	23
Athal_NC_003075.7	7600000	7700000	27	27	27
Athal_NC_003075.7	7700000	7800000	53	53	53
Athal_NC_003075.7	7800000	7900000	17	17	17
Athal_NC_003075.7	7900000	8000000	14	14	14
Athal_NC_003075.7	8000000	8100000	26	26	26
Athal_NC_003075.7	8100000	8200000	8	8	8
Athal_NC_003075.7	8200000	8300000	7	7	7
Athal_NC_003075.7	8300000	8400000	17	17	17
Athal_NC_003075.7	8400000	8500000	29	29	29
Athal_NC_003075.7	8500000	8600000	9	9	9
Athal_NC_003075.7	8600000	8700000	21	21	21
Athal_NC_003075.7	8700000	8800000	9	9	9
Athal_NC_003075.7	8800000	8900000	19	19	19
Athal_NC_003075.7	8900000	9000000	15	15	15
Athal_NC_003075.7	9000000	9100000	13	13	13
Athal_NC_003075.7	9100000	9200000	9	9	9
Athal_NC_003075.7	9200000	9300000	17	17	17
Athal_NC_003075.7	9300000	9400000	25	25	25
Athal_NC_003075.7	9400000	9500000	9	9	9
Athal_NC_003075.7	9500000	9600000	7	7	7
Athal_NC_003075.7	9600000	9700000	6	6	6
Athal_NC_003075.7	9700000	9800000	20	20	20
Athal_NC_003075.7	9800000	9900000	15	15	15
Athal_NC_003075.7	9900000	10000000	21	21	21
Athal_NC_003075.7	10000000	10100000	20	20	20
Athal_NC_003075.7	10100000	10200000	32	32	32
Athal_NC_003075.7	10200000	10300000	15	15	15
Athal_NC_003075.7	10300000	10400000	23	23	23
Athal_NC_003075.7	10400000	10500000	15	15	15
Athal_NC_003075.7	10500000	10600000	11	11	11
Athal_NC_003075.7	10600000	10700000	12	12	12
Athal_NC_003075.7	10700000	10800000	21	21	21
Athal_NC_003075.7	10800000	10900000	18	18	18
Athal_NC_003075.7	10900000	11000000	17	17	17
Athal_NC_003075.7	11000000	11100000	8	8	8
Athal_NC_003075.7	11100000	11200000	8	8	8
Athal_NC_003075.7	11200000	11300000	11	11	11
Athal_NC_003075.7	11300000	11400000	15	15	15
Athal_NC_003075.7	11400000	11500000	12	12	12
Athal_NC_003075.7	11500000	11600000	19	19	19
Athal_NC_003075.7	11600000	11700000	21	21	21
Athal_NC_003075.7	11700000	11800000	28	28	28
Athal_NC_003075.7	11800000	11900000	16	16	16
Athal_NC_003075.7	11900000	12000000	20	20	20
Athal_NC_003075.7	12000000	12100000	4	4	4
Athal_NC_003075.7	12100000	12200000	11	11	11
Athal_NC_003075.7	12200000	12300000	11	11	11
Athal_NC_003075.7	12300000	12400000	21	21	21
Athal_NC_003075.7	12400000	12500000	19	19	19
Athal_NC_003075.7	12500000	12600000	11	11	11
Athal_NC_003075.7	12600000	12700000	7	7	7
Athal_NC_003075.7	12700000	12800000	3	3	3
Athal_NC_003075.7	12800000	12900000	7	7	7
Athal_NC_003075.7	12900000	13000000	7	7	7
Athal_NC_003075.7	13000000	13100000	4	4	4
Athal_NC_003075.7	13100000	13200000	9	9	9
Athal_NC_003075.7	13200000	13300000	10	10	10
Athal_NC_003075.7	13300000	13400000	2	2	2
Athal_NC_003075.7	13400000	13500000	5	5	5
Athal_NC_003075.7	13500000	13600000	2	2	2
Athal_NC_003075.7	13600000	13700000	11	11	11
Athal_NC_003075.7	13700000	13800000	9	9	9
Athal_NC_003075.7	13800000	13900000	7	7	7
Athal_NC_003075.7	13900000	14000000	0	0	0
Athal_NC_003075.7	14000000	14100000	7	7	7
Athal_NC_003075.7	14100000	14200000	8	8	8
Athal_NC_003075.7	14200000	14300000	12	12	12
Athal_NC_003075.7	14300000	14400000	3	3	3
Athal_NC_003075.7	14400000	14500000	11	11	11
Athal_NC_003075.7	14500000	14600000	7	7	7
Athal_NC_003075.7	14600000	14700000	12	12	12
Athal_NC_003075.7	14700000	14800000	15	15	15
Athal_NC_003075.7	14800000	14900000	13	13	13
Athal_NC_003075.7	14900000	15000000	7	7	7
Athal_NC_003075.7	15000000	15100000	7	7	7
Athal_NC_003075.7	15100000	15200000	2	2	2
Athal_NC_003075.7	15200000	15300000	8	8	8
Athal_NC_003075.7	15300000	15400000	4	4	4
Athal_NC_003075.7	15400000	15500000	16	16	16
Athal_NC_003075.7	15500000	15600000	4	4	4
Athal_NC_003075.7	15600000	15700000	9	9	9
Athal_NC_003075.7	15700000	15800000	2	2	2
Athal_NC_003075.7	15800000	15900000	9	9	9
Athal_NC_003075.7	15900000	16000000	11	11	11
Athal_NC_003075.7	16000000	16100000	2	2	2
Athal_NC_003075.7	16100000	16200000	9	9	9
Athal_NC_003075.7	16200000	16300000	8	8	8
Athal_NC_003075.7	16300000	16400000	12	12	12
Athal_NC_003075.7	16400000	16500000	9	9	9
Athal_NC_003075.7	16500000	16600000	15	15	15
Athal_NC_003075.7	16600000	16700000	23	23	23
Athal_NC_003075.7	16700000	16800000	14	14	14
Athal_NC_003075.7	16800000	16900000	10	10	10
Athal_NC_003075.7	16900000	17000000	16	16	16
Athal_NC_003075.7	17000000	17100000	8	8	8
Athal_NC_003075.7	17100000	17200000	13	13	13
Athal_NC_003075.7	17200000	17300000	9	9	9
Athal_NC_003075.7	17300000	17400000	29	29	29
Athal_NC_003075.7	17400000	17500000	36	36	36
Athal_NC_003075.7	17500000	17600000	33	33	33
Athal_NC_003075.7	17600000	17700000	35	35	35
Athal_NC_003075.7	17700000	17800000	19	19	19
Athal_NC_003075.7	17800000	17900000	26	26	26
Athal_NC_003075.7	17900000	18000000	10	10	10
Athal_NC_003075.7	18000000	18100000	26	26	26
Athal_NC_003075.7	18100000	18200000	17	17	17
Athal_NC_003075.7	18200000	18300000	6	6	6
Athal_NC_003075.7	18300000	18400000	11	11	11
Athal_NC_003075.7	18400000	18500000	7	7	7
Athal_NC_003075.7	18500000	18600000	5	5	5
Athal_NC_003076.8	0	100000	8	8	8
Athal_NC_003076.8	100000	200000	9	9	9
Athal_NC_003076.8	200000	300000	14	14	14
Athal_NC_003076.8	300000	400000	32	32	32
Athal_NC_003076.8	400000	500000	17	17	17
Athal_NC_003076.8	500000	600000	34	34	34
Athal_NC_003076.8	600000	700000	14	14	14
Athal_NC_003076.8	700000	800000	42	42	42
Athal_NC_003076.8	800000	900000	28	28	28
Athal_NC_003076.8	900000	1000000	34	34	34
Athal_NC_003076.8	1000000	1100000	10	10	10
Athal_NC_003076.8	1100000	1200000	21	21	21
Athal_NC_003076.8	1200000	1300000	18	18	18
Athal_NC_003076.8	1300000	1400000	16	16	16
Athal_NC_003076.8	1400000	1500000	18	18	18
Athal_NC_003076.8	1500000	1600000	19	19	19
Athal_NC_003076.8	1600000	1700000	15	15	15
Athal_NC_003076.8	1700000	1800000	15	15	15
Athal_NC_003076.8	1800000	1900000	3	3	3
Athal_NC_003076.8	1900000	2000000	26	26	26
Athal_NC_003076.8	2000000	2100000	14	14	14
Athal_NC_003076.8	2100000	2200000	21	21	21
Athal_NC_003076.8	2200000	2300000	6	6	6
Athal_NC_003076.8	2300000	2400000	12	12	12
Athal_NC_003076.8	2400000	2500000	12	12	12
Athal_NC_003076.8	2500000	2600000	6	6	6
Athal_NC_003076.8	2600000	2700000	12	12	12
Athal_NC_003076.8	2700000	2800000	2	2	2
Athal_NC_003076.8	2800000	2900000	7	7	7
Athal_NC_003076.8	2900000	3000000	10	10	10
Athal_NC_003076.8	3000000	3100000	10	10	10
Athal_NC_003076.8	3100000	3200000	9	9	9
Athal_NC_003076.8	3200000	3300000	9	9	9
Athal_NC_003076.8	3300000	3400000	7	7	7
Athal_NC_003076.8	3400000	3500000	13	13	13
Athal_NC_003076.8	3500000	3600000	15	15	15
Athal_NC_003076.8	3600000	3700000	2	2	2
Athal_NC_003076.8	3700000	3800000	9	9	9
Athal_NC_003076.8	3800000	3900000	20	20	20
Athal_NC_003076.8	3900000	4000000	3	3	3
Athal_NC_003076.8	4000000	4100000	8	8	8
Athal_NC_003076.8	4100000	4200000	7	7	7
Athal_NC_003076.8	4200000	4300000	13	13	13
Athal_NC_003076.8	4300000	4400000	3	3	3
Athal_NC_003076.8	4400000	4500000	4	4	4
Athal_NC_003076.8	4500000	4600000	5	5	5
Athal_NC_003076.8	4600000	4700000	11	11	11
Athal_NC_003076.8	4700000	4800000	13	13	13
Athal_NC_003076.8	4800000	4900000	14	14	14
Athal_NC_003076.8	4900000	5000000	20	20	20
Athal_NC_003076.8	5000000	5100000	6	6	6
Athal_NC_003076.8	5100000	5200000	7	7	7
Athal_NC_003076.8	5200000	5300000	19	19	19
Athal_NC_003076.8	5300000	5400000	10	10	10
Athal_NC_003076.8	5400000	5500000	12	12	12
Athal_NC_003076.8	5500000	5600000	3	3	3
Athal_NC_003076.8	5600000	5700000	12	12	12
Athal_NC_003076.8	5700000	5800000	19	19	19
Athal_NC_003076.8	5800000	5900000	21	21	21
Athal_NC_003076.8	5900000	6000000	8	8	8
Athal_NC_003076.8	6000000	6100000	20	20	20
Athal_NC_003076.8	6100000	6200000	9	9	9
Athal_NC_003076.8	6200000	6300000	12	12	12
Athal_NC_003076.8	6300000	6400000	15	15	15
Athal_NC_003076.8	6400000	6500000	22	22	22
Athal_NC_003076.8	6500000	6600000	11	11	11
Athal_NC_003076.8	6600000	6700000	14	14	14
Athal_NC_003076.8	6700000	6800000	7	7	7
Athal_NC_003076.8	6800000	6900000	20	20	20
Athal_NC_003076.8	6900000	7000000	6	6	6
Athal_NC_003076.8	7000000	7100000	7	7	7
Athal_NC_003076.8	7100000	7200000	18	18	18
Athal_NC_003076.8	7200000	7300000	22	22	22
Athal_NC_003076.8	7300000	7400000	25	25	25
Athal_NC_003076.8	7400000	7500000	14	14	14
Athal_NC_003076.8	7500000	7600000	8	8	8
Athal_NC_003076.8	7600000	7700000	17	17	17
Athal_NC_003076.8	7700000	7800000	16	16	16
Athal_NC_003076.8	7800000	7900000	23	23	23
Athal_NC_003076.8	7900000	8000000	31	31	31
Athal_NC_003076.8	8000000	8100000	14	14	14
Athal_NC_003076.8	8100000	8200000	19	19	19
Athal_NC_003076.8	8200000	8300000	27	27	27
Athal_NC_003076.8	8300000	8400000	23	23	23
Athal_NC_003076.8	8400000	8500000	2	2	2
Athal_NC_003076.8	8500000	8600000	23	23	23
Athal_NC_003076.8	8600000	8700000	32	32	32
Athal_NC_003076.8	8700000	8800000	36	36	36
Athal_NC_003076.8	8800000	8900000	31	31	31
Athal_NC_003076.8	8900000	9000000	17	17	17
Athal_NC_003076.8	9000000	9100000	52	52	52
Athal_NC_003076.8	9100000	9200000	18	18	18
Athal_NC_003076.8	9200000	9300000	26	26	26
Athal_NC_003076.8	9300000	9400000	34	34	34
Athal_NC_003076.8	9400000	9500000	16	16	16
Athal_NC_003076.8	9500000	9600000	15	15	15
Athal_NC_003076.8	9600000	9700000	21	21	21
Athal_NC_003076.8	9700000	9800000	11	11	11
Athal_NC_003076.8	9800000	9900000	39	39	39
Athal_NC_003076.8	9900000	10000000	32	32	32
Athal_NC_003076.8	10000000	10100000	6	6	6
Athal_NC_003076.8	10100000	10200000	24	24	24
Athal_NC_003076.8	10200000	10300000	44	44	44
Athal_NC_003076.8	10300000	10400000	9	9	9
Athal_NC_003076.8	10400000	10500000	35	35	35
Athal_NC_003076.8	10500000	10600000	2	2	2
Athal_NC_003076.8	10600000	10700000	19	19	19
Athal_NC_003076.8	10700000	10800000	8	8	8
Athal_NC_003076.8	10800000	10900000	6	6	6
Athal_NC_003076.8	10900000	11000000	15	15	15
Athal_NC_003076.8	11000000	11100000	0	0	0
Athal_NC_003076.8	11100000	11200000	0	0	0
Athal_NC_003076.8	11200000	11300000	0	0	0
Athal_NC_003076.8	11300000	11400000	0	0	0
Athal_NC_003076.8	11400000	11500000	0	0	0
Athal_NC_003076.8	11500000	11600000	0	0	0
Athal_NC_003076.8	11600000	11700000	0	0	0
Athal_NC_003076.8	11700000	11800000	0	0	0
Athal_NC_003076.8	11800000	11900000	0	0	0
Athal_NC_003076.8	11900000	12000000	0	0	0
Athal_NC_003076.8	12000000	12100000	0	0	0
Athal_NC_003076.8	12100000	12200000	0	0	0
Athal_NC_003076.8	12200000	12300000	0	0	0
Athal_NC_003076.8	12300000	12400000	1	1	1
Athal_NC_003076.8	12400000	12500000	0	0	0
Athal_NC_003076.8	12500000	12600000	0	0	0
Athal_NC_003076.8	12600000	12700000	1	1	1
Athal_NC_003076.8	12700000	12800000	0	0	0
Athal_NC_003076.8	12800000	12900000	0	0	0
Athal_NC_003076.8	12900000	13000000	0	0	0
Athal_NC_003076.8	13000000	13100000	0	0	0
Athal_NC_003076.8	13100000	13200000	0	0	0
Athal_NC_003076.8	13200000	13300000	5	5	5
Athal_NC_003076.8	13300000	13400000	0	0	0
Athal_NC_003076.8	13400000	13500000	9	9	9
Athal_NC_003076.8	13500000	13600000	5	5	5
Athal_NC_003076.8	13600000	13700000	19	19	19
Athal_NC_003076.8	13700000	13800000	32	32	32
Athal_NC_003076.8	13800000	13900000	34	34	34
Athal_NC_003076.8	13900000	14000000	16	16	16
Athal_NC_003076.8	14000000	14100000	17	17	17
Athal_NC_003076.8	14100000	14200000	10	10	10
Athal_NC_003076.8	14200000	14300000	8	8	8
Athal_NC_003076.8	14300000	14400000	2	2	2
Athal_NC_003076.8	14400000	14500000	0	0	0
Athal_NC_003076.8	14500000	14600000	33	33	33
Athal_NC_003076.8	14600000	14700000	13	13	13
Athal_NC_003076.8	14700000	14800000	18	18	18
Athal_NC_003076.8	14800000	14900000	28	28	28
Athal_NC_003076.8	14900000	15000000	37	37	37
Athal_NC_003076.8	15000000	15100000	8	8	8
Athal_NC_003076.8	15100000	15200000	3	3	3
Athal_NC_003076.8	15200000	15300000	23	23	23
Athal_NC_003076.8	15300000	15400000	30	30	30
Athal_NC_003076.8	15400000	15500000	20	20	20
Athal_NC_003076.8	15500000	15600000	7	7	7
