ID	GENE_COORD	TAIR	GENE_NAME	OG
gene-AT2G23260	Athal_NC_003071.7:9899927-9901439	AT2G23260	UGT84B1	OG0002034
gene-AT2G23270	Athal_NC_003071.7:9903215-9903845	AT2G23270	AT2G23270	OG0006266
gene-AT2G23290	Athal_NC_003071.7:9904506-9906032	AT2G23290	MYB70	OG0001088
gene-AT2G23300	Athal_NC_003071.7:9914246-9917427	AT2G23300	AT2G23300	OG0001458
gene-AT2G23310	Athal_NC_003071.7:9917443-9919379	AT2G23310	ATRER1C1	OG0019057
gene-AT2G23320	Athal_NC_003071.7:9924886-9926372	AT2G23320	WRKY15	OG0002073
gene-AT2G23321	Athal_NC_003071.7:9926378-9926518	AT2G23321	AT2G23321	OG0024616
gene-AT2G23340	Athal_NC_003071.7:9937792-9938997	AT2G23340	DEAR3	OG0000810
gene-AT2G23348	Athal_NC_003071.7:9940742-9942907	AT2G23348	AT2G23348	NA
gene-AT2G23350	Athal_NC_003071.7:9942915-9946347	AT2G23350	PAB4	OG0000811
gene-AT2G23360	Athal_NC_003071.7:9948594-9952896	AT2G23360	AT2G23360	OG0002496
gene-AT2G23370	Athal_NC_003071.7:9952867-9955149	AT2G23370	AT2G23370	OG0005873
gene-AT2G23380	Athal_NC_003071.7:9955092-9960386	AT2G23380	CLF	OG0009092
gene-AT2G23390	Athal_NC_003071.7:9960372-9963646	AT2G23390	AT2G23390	OG0011598
gene-AT2G23400	Athal_NC_003071.7:9963809-9965414	AT2G23400	AT2G23400	OG0000978
gene-AT2G23410	Athal_NC_003071.7:9966127-9967788	AT2G23410	CPT	OG0000978
gene-AT2G23420	Athal_NC_003071.7:9971603-9975207	AT2G23420	NAPRT2	OG0003399
gene-AT2G23430	Athal_NC_003071.7:9976590-9978090	AT2G23430	ICK1	OG0014190
gene-AT2G23440	Athal_NC_003071.7:9979405-9979874	AT2G23440	AT2G23440	OG0002899
gene-AT2G23445	Athal_NC_003071.7:9985933-9986507	AT2G23445	AT2G23445	OG0002899
gene-AT2G23450	Athal_NC_003071.7:9988707-9992010	AT2G23450	AT2G23450	OG0002284
gene-AT2G23460	Athal_NC_003071.7:9995465-9999122	AT2G23460	XLG1	OG0003895
gene-AT2G23470	Athal_NC_003071.7:9998982-10001509	AT2G23470	RUS4	OG0013278
gene-AT2G23510	Athal_NC_003071.7:10011481-10013533	AT2G23510	SDT	OG0003744
gene-AT2G23520	Athal_NC_003071.7:10013904-10017373	AT2G23520	AT2G23520	OG0002611
gene-AT2G23530	Athal_NC_003071.7:10020461-10022947	AT2G23530	AT2G23530	OG0003050
gene-AT2G23540	Athal_NC_003071.7:10024150-10026258	AT2G23540	AT2G23540	OG0011122
gene-AT2G23550	Athal_NC_003071.7:10026992-10028777	AT2G23550	MES6	OG0000316
gene-AT2G23560	Athal_NC_003071.7:10029060-10030443	AT2G23560	MES7	OG0000316
gene-AT2G23570	Athal_NC_003071.7:10031565-10032691	AT2G23570	MES19	OG0000316
gene-AT2G23580	Athal_NC_003071.7:10033043-10034327	AT2G23580	MES4	OG0000316
gene-AT2G23590	Athal_NC_003071.7:10034484-10036048	AT2G23590	MES8	OG0000316
gene-AT2G23600	Athal_NC_003071.7:10041820-10043840	AT2G23600	ACL	OG0000316
gene-AT2G23610	Athal_NC_003071.7:10044179-10046982	AT2G23610	MES3	OG0000316
gene-AT2G23620	Athal_NC_003071.7:10047308-10049413	AT2G23620	MES1	OG0000316
gene-AT2G23630	Athal_NC_003071.7:10052365-10055427	AT2G23630	sks16	OG0001467
gene-AT2G23640	Athal_NC_003071.7:10057542-10059108	AT2G23640	RTNLB13	OG0011412
gene-AT2G23660	Athal_NC_003071.7:10060065-10061822	AT2G23660	LBD10	OG0019103
gene-AT2G23670	Athal_NC_003071.7:10063155-10063863	AT2G23670	YCF37	OG0012431
gene-AT2G23680	Athal_NC_003071.7:10066117-10067737	AT2G23680	AT2G23680	OG0017194
gene-AT2G23690	Athal_NC_003071.7:10072057-10073126	AT2G23690	AT2G23690	OG0000728
gene-AT2G23700	Athal_NC_003071.7:10076366-10080323	AT2G23700	AT2G23700	OG0019104
gene-AT2G23740	Athal_NC_003071.7:10097265-10103229	AT2G23740	SUVR5	OG0009859
gene-AT2G23755	Athal_NC_003071.7:10102787-10104050	AT2G23755	AT2G23755	OG0014852
gene-AT2G23760	Athal_NC_003071.7:10107707-10113327	AT2G23760	BLH4	OG0004204
gene-AT2G23770	Athal_NC_003071.7:10119973-10122479	AT2G23770	LYK4	OG0007731
gene-AT2G23780	Athal_NC_003071.7:10122497-10124636	AT2G23780	AT2G23780	OG0002285
gene-AT2G23790	Athal_NC_003071.7:10125367-10127589	AT2G23790	AT2G23790	OG0002612
gene-AT2G23800	Athal_NC_003071.7:10131485-10132779	AT2G23800	GGPS2	OG0019105
gene-AT2G23810	Athal_NC_003071.7:10135605-10137595	AT2G23810	TET8	OG0001261
gene-AT2G23820	Athal_NC_003071.7:10140383-10142938	AT2G23820	AT2G23820	OG0003084
gene-AT2G23830	Athal_NC_003071.7:10143468-10144714	AT2G23830	AT2G23830	OG0000489
gene-AT2G23840	Athal_NC_003071.7:10153586-10155699	AT2G23840	AT2G23840	OG0009916
gene-AT2G23890	Athal_NC_003071.7:10170576-10173945	AT2G23890	AT2G23890	OG0012432
gene-AT2G23900	Athal_NC_003071.7:10174515-10176858	AT2G23900	AT2G23900	OG0000464
gene-AT2G23910	Athal_NC_003071.7:10177781-10180088	AT2G23910	AT2G23910	OG0003085
gene-AT2G23930	Athal_NC_003071.7:10182251-10183370	AT2G23930	SNRNP-G	OG0004693
gene-AT2G23940	Athal_NC_003071.7:10183867-10185331	AT2G23940	AT2G23940	OG0008270
gene-AT2G23945	Athal_NC_003071.7:10185229-10186738	AT2G23945	AT2G23945	OG0002055
gene-AT2G23950	Athal_NC_003071.7:10186891-10190492	AT2G23950	AT2G23950	OG0007348
gene-AT2G23960	Athal_NC_003071.7:10195910-10197741	AT2G23960	AT2G23960	OG0001072
gene-AT2G23970	Athal_NC_003071.7:10199675-10201095	AT2G23970	AT2G23970	OG0001072
gene-AT2G23980	Athal_NC_003071.7:10201104-10205422	AT2G23980	CNGC6	OG0001128
gene-AT2G23985	Athal_NC_003071.7:10204802-10206522	AT2G23985	AT2G23985	OG0006912
gene-AT2G23990	Athal_NC_003071.7:10206665-10207985	AT2G23990	ENODL11	OG0000854
gene-AT2G24000	Athal_NC_003071.7:10209421-10214042	AT2G24000	scpl22	OG0021402
gene-AT2G24010	Athal_NC_003071.7:10214674-10217739	AT2G24010	scpl23	OG0008269
gene-AT2G24020	Athal_NC_003071.7:10217701-10219468	AT2G24020	AT2G24020	OG0005453
gene-AT2G24030	Athal_NC_003071.7:10220061-10222064	AT2G24030	AT2G24030	OG0006289
gene-AT2G24040	Athal_NC_003071.7:10223857-10225171	AT2G24040	AT2G24040	OG0002357
gene-AT2G24050	Athal_NC_003071.7:10225225-10228698	AT2G24050	eIFiso4G2	OG0019107
gene-AT2G24060	Athal_NC_003071.7:10229350-10231856	AT2G24060	AT2G24060	OG0006015
gene-AT2G24070	Athal_NC_003071.7:10231300-10235476	AT2G24070	QWRF4	OG0004078
gene-AT2G24080	Athal_NC_003071.7:10237604-10238779	AT2G24080	AT2G24080	OG0018403
gene-AT2G24090	Athal_NC_003071.7:10241875-10243674	AT2G24090	PRPL35	OG0011123
gene-AT2G24100	Athal_NC_003071.7:10244745-10246994	AT2G24100	ASG1	OG0001700
gene-AT2G24120	Athal_NC_003071.7:10248851-10254641	AT2G24120	SCA3	OG0001366
gene-AT2G24130	Athal_NC_003071.7:10258107-10261352	AT2G24130	AT2G24130	OG0004694
gene-AT2G24140	Athal_NC_003071.7:10262478-10264065	AT2G24140	AT2G24140	OG0003552
gene-AT2G24150	Athal_NC_003071.7:10265271-10267607	AT2G24150	HHP3	OG0006147
gene-AT2G24170	Athal_NC_003071.7:10274099-10277266	AT2G24170	AT2G24170	OG0000607
gene-AT2G24180	Athal_NC_003071.7:10281718-10283735	AT2G24180	CYP71B6	OG0000056
gene-AT2G24190	Athal_NC_003071.7:10283621-10285098	AT2G24190	SDR2	OG0000243
gene-AT2G24195	Athal_NC_003071.7:10285927-10286865	AT2G24195	AT2G24195	OG0013790
gene-AT2G24200	Athal_NC_003071.7:10286806-10289685	AT2G24200	LAP1	OG0003551
gene-AT2G24210	Athal_NC_003071.7:10294286-10297597	AT2G24210	TPS10	OG0000102
gene-AT2G24220	Athal_NC_003071.7:10300116-10301787	AT2G24220	PUP5	OG0013280
gene-AT2G24230	Athal_NC_003071.7:10301817-10304812	AT2G24230	AT2G24230	OG0007732
gene-AT2G24240	Athal_NC_003071.7:10310482-10312573	AT2G24240	AT2G24240	OG0005591
gene-AT2G24250	Athal_NC_003071.7:10313066-10314980	AT2G24250	AT2G24250	OG0000994
gene-AT2G24255	Athal_NC_003071.7:10315515-10317353	AT2G24255	AT2G24255	OG0024454
gene-AT2G24260	Athal_NC_003071.7:10319213-10322423	AT2G24260	LRL1	OG0002600
gene-AT2G24270	Athal_NC_003071.7:10326918-10330048	AT2G24270	ALDH11A3	OG0005160
gene-AT2G24280	Athal_NC_003071.7:10332483-10337170	AT2G24280	AT2G24280	OG0004612
gene-AT2G24285	Athal_NC_003071.7:10337202-10337824	AT2G24285	AT2G24285	OG0008504
gene-AT2G24290	Athal_NC_003071.7:10338667-10340239	AT2G24290	AT2G24290	OG0000467
gene-AT2G24300	Athal_NC_003071.7:10340785-10343736	AT2G24300	AT2G24300	OG0008475
gene-AT2G24310	Athal_NC_003071.7:10344358-10345510	AT2G24310	AT2G24310	OG0017195
gene-AT2G24320	Athal_NC_003071.7:10345421-10346829	AT2G24320	AT2G24320	OG0005590
gene-AT2G24330	Athal_NC_003071.7:10347018-10349921	AT2G24330	AT2G24330	OG0002794
gene-AT2G24340	Athal_NC_003071.7:10355430-10359546	AT2G24340	AT2G24340	OG0024457
gene-AT2G24350	Athal_NC_003071.7:10361054-10364492	AT2G24350	AT2G24350	OG0014853
gene-AT2G24360	Athal_NC_003071.7:10364451-10366902	AT2G24360	AT2G24360	OG0002420
gene-AT2G24370	Athal_NC_003071.7:10369418-10373382	AT2G24370	AT2G24370	OG0000260
gene-AT2G24390	Athal_NC_003071.7:10373570-10375011	AT2G24390	AT2G24390	OG0006772
gene-AT2G24395	Athal_NC_003071.7:10375439-10376265	AT2G24395	AT2G24395	OG0013846
gene-AT2G24400	Athal_NC_003071.7:10376956-10378645	AT2G24400	AT2G24400	OG0002793
gene-AT2G24410	Athal_NC_003071.7:10379159-10379407	AT2G24410	AT2G24410	OG0007702
gene-AT2G24420	Athal_NC_003071.7:10379948-10383405	AT2G24420	AT2G24420	OG0005161
gene-AT2G24430	Athal_NC_003071.7:10383497-10386625	AT2G24430	NAC038	OG0000662
gene-AT2G24440	Athal_NC_003071.7:10391075-10393934	AT2G24440	AT2G24440	OG0004176
gene-AT2G24450	Athal_NC_003071.7:10392787-10393976	AT2G24450	FLA3	OG0003550
gene-AT2G24460	Athal_NC_003071.7:10394329-10395390	AT2G24460	AT2G24460	OG0008504
gene-AT2G24470	Athal_NC_003071.7:10395828-10396622	AT2G24470	AT2G24470	OG0024456
gene-AT2G24490	Athal_NC_003071.7:10397377-10400498	AT2G24490	RPA2	OG0002266
gene-AT2G24480	Athal_NC_003071.7:10397588-10398184	AT2G24480	AT2G24480	OG0008504
gene-AT2G24500	Athal_NC_003071.7:10400630-10402934	AT2G24500	FZF	OG0004611
gene-AT2G24510	Athal_NC_003071.7:10404373-10405650	AT2G24510	AT2G24510	OG0013635
gene-AT2G24520	Athal_NC_003071.7:10415143-10420029	AT2G24520	HA5	OG0000086
gene-AT2G24530	Athal_NC_003071.7:10421841-10424402	AT2G24530	AT2G24530	OG0002088
gene-AT2G24540	Athal_NC_003071.7:10426342-10427594	AT2G24540	AFR	OG0003052
gene-AT2G24550	Athal_NC_003071.7:10427856-10429487	AT2G24550	AT2G24550	OG0002921
gene-AT2G24560	Athal_NC_003071.7:10431260-10433006	AT2G24560	AT2G24560	OG0001143
gene-AT2G24570	Athal_NC_003071.7:10437353-10439469	AT2G24570	WRKY17	OG0003549
gene-AT2G24580	Athal_NC_003071.7:10444479-10446434	AT2G24580	AT2G24580	OG0004695
gene-AT2G24590	Athal_NC_003071.7:10449631-10451184	AT2G24590	RSZ22a	OG0003326
gene-AT2G24600	Athal_NC_003071.7:10452034-10454593	AT2G24600	AT2G24600	OG0001372
gene-AT2G24610	Athal_NC_003071.7:10456879-10460571	AT2G24610	CNGC14	OG0002202
gene-AT2G24615	Athal_NC_003071.7:10461199-10462852	AT2G24615	AT2G24615	OG0021403
gene-AT2G24617	Athal_NC_003071.7:10462910-10463224	AT2G24617	AT2G24617	NA
gene-AT2G24620	Athal_NC_003071.7:10463076-10463959	AT2G24620	AT2G24620	OG0017196
gene-AT2G24625	Athal_NC_003071.7:10468340-10469286	AT2G24625	AT2G24625	OG0021403
gene-AT2G24630	Athal_NC_003071.7:10471196-10474610	AT2G24630	ATCSLC08	OG0000422
gene-AT2G24640	Athal_NC_003071.7:10475153-10479454	AT2G24640	UBP19	OG0005589
gene-AT2G24645	Athal_NC_003071.7:10480515-10482795	AT2G24645	AT2G24645	OG0000265
gene-AT2G24650	Athal_NC_003071.7:10483253-10487762	AT2G24650	AT2G24650	OG0000265
gene-AT2G24670	Athal_NC_003071.7:10492669-10493567	AT2G24670	AT2G24670	OG0001262
gene-AT2G24680	Athal_NC_003071.7:10493263-10497009	AT2G24680	AT2G24680	OG0015429
gene-AT2G24681	Athal_NC_003071.7:10497147-10498331	AT2G24681	AT2G24681	OG0000265
gene-AT2G24690	Athal_NC_003071.7:10498972-10503188	AT2G24690	AT2G24690	OG0019108
gene-AT2G24692	Athal_NC_003071.7:10503436-10504063	AT2G24692	AT2G24692	OG0006089
gene-AT2G24693	Athal_NC_003071.7:10506024-10506859	AT2G24693	AT2G24693	OG0021404
gene-AT2G24696	Athal_NC_003071.7:10509068-10510902	AT2G24696	AT2G24696	OG0000265
gene-AT2G24700	Athal_NC_003071.7:10512884-10515411	AT2G24700	AT2G24700	OG0000265
gene-AT2G24710	Athal_NC_003071.7:10516780-10520684	AT2G24710	GLR2.3	OG0000078
gene-AT2G24720	Athal_NC_003071.7:10522548-10526059	AT2G24720	GLR2.2	OG0000078
gene-AT2G24740	Athal_NC_003071.7:10529690-10531957	AT2G24740	SDG21	OG0013707
gene-AT2G24762	Athal_NC_003071.7:10559173-10560239	AT2G24762	GDU4	OG0000815
gene-AT2G24765	Athal_NC_003071.7:10562688-10565296	AT2G24765	ARF3	OG0004105
gene-AT2G24790	Athal_NC_003071.7:10566836-10568145	AT2G24790	COL3	OG0001326
gene-AT2G24800	Athal_NC_003071.7:10571054-10572636	AT2G24800	AT2G24800	OG0009656
gene-AT2G24820	Athal_NC_003071.7:10574942-10576938	AT2G24820	TIC55-II	OG0008515
gene-AT2G24830	Athal_NC_003071.7:10576856-10579230	AT2G24830	AT2G24830	OG0012166
gene-AT2G24840	Athal_NC_003071.7:10581069-10582015	AT2G24840	AGL61	OG0000146
gene-AT2G24850	Athal_NC_003071.7:10582074-10585216	AT2G24850	TAT3	OG0013143
gene-AT2G24860	Athal_NC_003071.7:10586643-10588416	AT2G24860	AT2G24860	OG0010874
gene-AT2G24870	Athal_NC_003071.7:10588569-10589615	AT2G24870	AT2G24870	OG0003993
gene-AT2G24880	Athal_NC_003071.7:10590554-10590862	AT2G24880	AT2G24880	OG0003993
gene-AT2G24940	Athal_NC_003071.7:10609417-10609900	AT2G24940	MAPR2	OG0010875
gene-AT2G24945	Athal_NC_003071.7:10610833-10612232	AT2G24945	AT2G24945	OG0014192
gene-AT2G24950	Athal_NC_003071.7:10613105-10615563	AT2G24950	AT2G24950	OG0001855
gene-AT2G24960	Athal_NC_003071.7:10617116-10620034	AT2G24960	AT2G24960	OG0003192
gene-AT2G24970	Athal_NC_003071.7:10619531-10621307	AT2G24970	AT2G24970	OG0009658
gene-AT2G24990	Athal_NC_003071.7:10625163-10628598	AT2G24990	AT2G24990	OG0009659
gene-AT2G25000	Athal_NC_003071.7:10629662-10631413	AT2G25000	WRKY60	OG0000763
gene-AT2G25010	Athal_NC_003071.7:10631531-10633754	AT2G25010	AT2G25010	OG0001793
gene-AT2G25050	Athal_NC_003071.7:10653683-10660558	AT2G25050	AT2G25050	OG0002796
gene-AT2G25060	Athal_NC_003071.7:10662190-10663103	AT2G25060	ENODL14	OG0000854
gene-AT2G25070	Athal_NC_003071.7:10663155-10666011	AT2G25070	AT2G25070	OG0001950
gene-AT2G25080	Athal_NC_003071.7:10667898-10670127	AT2G25080	GPX1	OG0000259
gene-AT2G25090	Athal_NC_003071.7:10670410-10672892	AT2G25090	CIPK16	OG0018853
gene-AT2G25100	Athal_NC_003071.7:10679524-10682054	AT2G25100	AT2G25100	OG0010876
gene-AT2G25110	Athal_NC_003071.7:10684118-10686347	AT2G25110	SDF2	OG0006177
gene-AT2G25120	Athal_NC_003071.7:10689934-10691569	AT2G25120	AT2G25120	OG0011837
gene-AT2G25130	Athal_NC_003071.7:10695071-10697175	AT2G25130	AT2G25130	OG0004609
gene-AT2G25140	Athal_NC_003071.7:10697629-10702203	AT2G25140	CLPB4	OG0002414
gene-AT2G25150	Athal_NC_003071.7:10702341-10704825	AT2G25150	AT2G25150	OG0003744
gene-AT2G25160	Athal_NC_003071.7:10708993-10711281	AT2G25160	CYP82F1	OG0016014
gene-AT2G25170	Athal_NC_003071.7:10713807-10724106	AT2G25170	PKL	OG0004450
gene-AT2G25180	Athal_NC_003071.7:10724301-10727272	AT2G25180	RR12	OG0000646
gene-AT2G25185	Athal_NC_003071.7:10731556-10732075	AT2G25185	AT2G25185	OG0024617
gene-AT2G25190	Athal_NC_003071.7:10733921-10735795	AT2G25190	AT2G25190	OG0003423
gene-AT2G25200	Athal_NC_003071.7:10736261-10737800	AT2G25200	AT2G25200	OG0018448
gene-AT2G25210	Athal_NC_003071.7:10739855-10740552	AT2G25210	AT2G25210	OG0002537
gene-AT2G25215	Athal_NC_003071.7:10741671-10742161	AT2G25215	AT2G25215	NA
gene-AT2G25125	Athal_NC_003071.7:10741777-10742001	AT2G25125	AT2G25125	OG0017276
gene-AT2G25220	Athal_NC_003071.7:10742678-10745819	AT2G25220	AT2G25220	OG0001194
gene-AT2G25230	Athal_NC_003071.7:10747211-10748467	AT2G25230	MYB100	OG0015411
gene-AT2G25240	Athal_NC_003071.7:10751656-10753380	AT2G25240	CCP3	OG0014215
gene-AT2G25250	Athal_NC_003071.7:10753602-10754935	AT2G25250	AT2G25250	OG0001054
gene-AT2G25260	Athal_NC_003071.7:10755524-10757947	AT2G25260	AT2G25260	OG0005917
gene-AT2G25270	Athal_NC_003071.7:10759724-10762568	AT2G25270	AT2G25270	OG0001522
gene-AT2G25280	Athal_NC_003071.7:10762355-10764810	AT2G25280	AT2G25280	OG0010482
gene-AT2G25290	Athal_NC_003071.7:10765702-10768734	AT2G25290	Phox1	OG0002536
gene-AT2G25295	Athal_NC_003071.7:10769877-10770485	AT2G25295	LCR81	OG0019395
gene-AT2G25297	Athal_NC_003071.7:10770682-10771335	AT2G25297	AT2G25297	OG0017281
gene-AT2G25300	Athal_NC_003071.7:10771585-10774403	AT2G25300	AT2G25300	OG0007509
gene-AT2G25305	Athal_NC_003071.7:10774501-10775002	AT2G25305	AT2G25305	OG0019396
gene-AT2G25310	Athal_NC_003071.7:10777068-10779264	AT2G25310	AT2G25310	OG0005588
gene-AT2G25312	Athal_NC_003071.7:10780074-10780409	AT2G25312	AT2G25312	OG0012718
gene-AT2G25320	Athal_NC_003071.7:10781622-10788235	AT2G25320	AT2G25320	OG0006964
gene-AT2G25330	Athal_NC_003071.7:10788946-10791331	AT2G25330	AT2G25330	OG0006964
gene-AT2G25340	Athal_NC_003071.7:10792664-10793832	AT2G25340	VAMP712	OG0002663
gene-AT2G25344	Athal_NC_003071.7:10795064-10796150	AT2G25344	LCR14	OG0019397
gene-AT2G25350	Athal_NC_003071.7:10797353-10801050	AT2G25350	AT2G25350	OG0002418
gene-AT2G25355	Athal_NC_003071.7:10801091-10803722	AT2G25355	AT2G25355	OG0007508
gene-AT2G25360	Athal_NC_003071.7:10804249-10805761	AT2G25360	AT2G25360	OG0000487
gene-AT2G25370	Athal_NC_003071.7:10806680-10809945	AT2G25370	AT2G25370	OG0000487
gene-AT2G25410	Athal_NC_003071.7:10814393-10815994	AT2G25410	AT2G25410	OG0001764
gene-AT2G25420	Athal_NC_003071.7:10816749-10821168	AT2G25420	AT2G25420	OG0019144
gene-AT2G25430	Athal_NC_003071.7:10822192-10824939	AT2G25430	AT2G25430	OG0002598
gene-AT2G25440	Athal_NC_003071.7:10826735-10829402	AT2G25440	RLP20	OG0000534
gene-AT2G25450	Athal_NC_003071.7:10829854-10831655	AT2G25450	AT2G25450	OG0000060
gene-AT2G25460	Athal_NC_003071.7:10832578-10835660	AT2G25460	AT2G25460	OG0011413
gene-AT2G25470	Athal_NC_003071.7:10838307-10842016	AT2G25470	RLP21	OG0000017
gene-AT2G25480	Athal_NC_003071.7:10842863-10845833	AT2G25480	AT2G25480	OG0003735
gene-AT2G25482	Athal_NC_003071.7:10845838-10846393	AT2G25482	AT2G25482	OG0021405
gene-AT2G25490	Athal_NC_003071.7:10847375-10850797	AT2G25490	EBF1	OG0001182
gene-AT2G25500	Athal_NC_003071.7:10854652-10854948	AT2G25500	AT2G25500	OG0002185
gene-AT2G25520	Athal_NC_003071.7:10860668-10862410	AT2G25520	AT2G25520	OG0001742
gene-AT2G25530	Athal_NC_003071.7:10863059-10866910	AT2G25530	AT2G25530	OG0011778
gene-AT2G25540	Athal_NC_003071.7:10866822-10872243	AT2G25540	CESA10	OG0003839
gene-AT2G25560	Athal_NC_003071.7:10880552-10883939	AT2G25560	AT2G25560	OG0001083
gene-AT2G25565	Athal_NC_003071.7:10884062-10885295	AT2G25565	AT2G25565	OG0017231
gene-AT2G25570	Athal_NC_003071.7:10884966-10887893	AT2G25570	AT2G25570	OG0008846
gene-AT2G25580	Athal_NC_003071.7:10888009-10890671	AT2G25580	MEF8	OG0005056
gene-AT2G25590	Athal_NC_003071.7:10890903-10893772	AT2G25590	AT2G25590	OG0001213
gene-AT2G25600	Athal_NC_003071.7:10894253-10898672	AT2G25600	SPIK	OG0014292
gene-AT2G25605	Athal_NC_003071.7:10899348-10901231	AT2G25605	AT2G25605	OG0011259
gene-AT2G25610	Athal_NC_003071.7:10901213-10902919	AT2G25610	AT2G25610	OG0004175
gene-AT2G25620	Athal_NC_003071.7:10902716-10905267	AT2G25620	DBP1	OG0011258
gene-AT2G25625	Athal_NC_003071.7:10906215-10907350	AT2G25625	AT2G25625	OG0010007
gene-AT2G25630	Athal_NC_003071.7:10908360-10909880	AT2G25630	BGLU14	OG0000136
gene-AT2G25640	Athal_NC_003071.7:10910461-10914547	AT2G25640	AT2G25640	OG0003388
gene-AT2G25650	Athal_NC_003071.7:10914511-10916216	AT2G25650	AT2G25650	OG0011938
gene-AT2G25660	Athal_NC_003071.7:10915307-10927702	AT2G25660	emb2410	OG0011257
gene-AT2G25670	Athal_NC_003071.7:10928586-10931090	AT2G25670	AT2G25670	OG0002792
gene-AT2G25680	Athal_NC_003071.7:10933005-10934604	AT2G25680	MOT1	OG0005193
gene-AT2G25685	Athal_NC_003071.7:10937527-10938113	AT2G25685	SCRL17	OG0017280
gene-AT2G25690	Athal_NC_003071.7:10940071-10942454	AT2G25690	AT2G25690	OG0016031
gene-AT2G25700	Athal_NC_003071.7:10948747-10949626	AT2G25700	SK3	OG0000307
gene-AT2G25710	Athal_NC_003071.7:10952547-10955411	AT2G25710	HCS1	OG0006030
gene-AT2G25720	Athal_NC_003071.7:10955430-10956090	AT2G25720	AT2G25720	OG0010342
gene-AT2G25730	Athal_NC_003071.7:10956263-10972951	AT2G25730	AT2G25730	OG0012567
gene-AT2G25735	Athal_NC_003071.7:10974655-10975916	AT2G25735	AT2G25735	OG0003353
gene-AT2G25737	Athal_NC_003071.7:10976742-10979904	AT2G25737	AT2G25737	OG0001572
gene-AT2G25740	Athal_NC_003071.7:10980122-10984128	AT2G25740	AT2G25740	OG0007810
gene-AT2G25760	Athal_NC_003071.7:10984304-10989117	AT2G25760	AT2G25760	OG0000392
gene-AT2G25770	Athal_NC_003071.7:10992728-10993652	AT2G25770	AT2G25770	OG0000554
gene-AT2G25780	Athal_NC_003071.7:10995095-10996045	AT2G25780	AT2G25780	OG0014372
gene-AT2G25790	Athal_NC_003071.7:11000486-11004272	AT2G25790	AT2G25790	OG0010006
gene-AT2G25800	Athal_NC_003071.7:11005775-11009861	AT2G25800	AT2G25800	OG0003081
gene-AT2G25810	Athal_NC_003071.7:11012499-11014171	AT2G25810	TIP4;1	OG0008845
gene-AT2G25820	Athal_NC_003071.7:11014789-11015838	AT2G25820	ESE2	OG0000161
gene-AT2G25830	Athal_NC_003071.7:11018716-11021903	AT2G25830	AT2G25830	OG0008844
gene-AT2G25840	Athal_NC_003071.7:11021692-11025370	AT2G25840	OVA4	OG0008376
gene-AT2G25850	Athal_NC_003071.7:11025345-11030808	AT2G25850	PAPS2	OG0003271
gene-AT2G25870	Athal_NC_003071.7:11030970-11034580	AT2G25870	AT2G25870	OG0009475
gene-AT2G25880	Athal_NC_003071.7:11034652-11038191	AT2G25880	AUR2	OG0005929
gene-AT2G25890	Athal_NC_003071.7:11037303-11038179	AT2G25890	AT2G25890	OG0001766
gene-AT2G25900	Athal_NC_003071.7:11041331-11043256	AT2G25900	ATCTH	OG0001904
gene-AT2G25905	Athal_NC_003071.7:11045992-11047215	AT2G25905	AT2G25905	OG0017229
gene-AT2G25910	Athal_NC_003071.7:11048946-11052075	AT2G25910	AT2G25910	OG0009195
gene-AT2G25920	Athal_NC_003071.7:11054168-11056062	AT2G25920	AT2G25920	OG0008137
gene-AT2G25930	Athal_NC_003071.7:11058944-11063324	AT2G25930	ELF3	OG0003709
gene-AT2G25940	Athal_NC_003071.7:11063301-11066184	AT2G25940	ALPHA-VPE	OG0003428
gene-AT2G25950	Athal_NC_003071.7:11068561-11070661	AT2G25950	AT2G25950	OG0011708
gene-AT2G25970	Athal_NC_003071.7:11071622-11075705	AT2G25970	AT2G25970	OG0005928
gene-AT2G25980	Athal_NC_003071.7:11077438-11079968	AT2G25980	AT2G25980	OG0000233
gene-AT2G26000	Athal_NC_003071.7:11081156-11085350	AT2G26000	BRIZ2	OG0009227
gene-AT2G26010	Athal_NC_003071.7:11087280-11088001	AT2G26010	PDF1.3	OG0001630
gene-AT2G26020	Athal_NC_003071.7:11089123-11089805	AT2G26020	PDF1.2b	OG0001630
gene-AT2G26030	Athal_NC_003071.7:11091330-11093444	AT2G26030	AT2G26030	OG0000033
gene-AT2G26040	Athal_NC_003071.7:11094258-11095542	AT2G26040	PYL2	OG0005709
gene-AT2G26050	Athal_NC_003071.7:11098652-11099380	AT2G26050	AT2G26050	OG0008286
gene-AT2G26060	Athal_NC_003071.7:11102223-11105364	AT2G26060	emb1345	OG0005054
gene-AT2G26070	Athal_NC_003071.7:11105605-11107188	AT2G26070	RTE1	OG0009932
gene-AT2G26080	Athal_NC_003071.7:11109003-11114291	AT2G26080	GLDP2	OG0005053
gene-AT2G26100	Athal_NC_003071.7:11115873-11118362	AT2G26100	AT2G26100	OG0011183
gene-AT2G26110	Athal_NC_003071.7:11120523-11122146	AT2G26110	AT2G26110	OG0002631
gene-AT2G26130	Athal_NC_003071.7:11127029-11128476	AT2G26130	AT2G26130	OG0000712
gene-AT2G26135	Athal_NC_003071.7:11130119-11131514	AT2G26135	AT2G26135	OG0000712
gene-AT2G26140	Athal_NC_003071.7:11131578-11135465	AT2G26140	ftsh4	OG0006313
